title,aid,link,createtime,desc,ownertoken,like,coin,reply,share,favorite,view,danmaku
被这梅西笑死！！！,988884684,https://www.bilibili.com/video/BV1W44y1Z7ET,1671377583,"《极乐净土》--GARNiDELiA
《老司机带带我》--云南山歌
《米兰的小铁匠》--周杰伦",268514192,52400,3161,690,3283,8293,1231085,1023
得知分院结果后，麻袋的反应笑哭我了 | 梅西二儿子也太可爱了吧！,988480930,https://www.bilibili.com/video/BV1Z44y1S7Sf,1670392764,"https://instagram.com/antonelarocuzzo?igshid=YmMyMTA2M2Y=
cr. ins",673891182,6305,53,88,239,738,498261,27
[天下足球]梅西：圆梦  圆满,908104358,https://www.bilibili.com/video/BV18M4y1k7pB,1678156364,,320563481,31481,17665,0,4050,14567,660873,4850
真实球迷汇直播拒绝拷打梅西,1750409286,https://www.bilibili.com/video/BV1D4421c7dH,1707313329,-,702933299,709,17,730,115,180,163312,347
地上足球：不发新年祝福竟是合同原因？梅西早已掉进钱眼..,1400599531,https://www.bilibili.com/video/BV1L6421g7BE,1707733856,地上足球：不发新年祝福竟是合同原因？梅西早已掉进钱眼..,550674844,66299,37904,6147,6996,7030,1362515,7544
（为什么教练和裁判都怕梅西受伤）真的有被梅西帅到了,305984709,https://www.bilibili.com/video/BV1nP411K7as,1670410700,世界杯诸神之战,1621720128,5509,108,113,66,1165,436078,114
梅西,854526991,https://www.bilibili.com/video/BV1C54y1o7Fn,1653972866,-,1196420982,223,0,12,2,22,1827,0
【超清多机位】詹俊解说：梅西2015欧冠淘汰赛单挑博阿滕,95580305,https://www.bilibili.com/video/BV12E411L7wg,1584020472,谢谢你那么可爱还给我点赞,121284617,5132,561,418,726,2322,436086,965
为了能够在日本上场，梅西究竟付出了多大的代价！,1700285035,https://www.bilibili.com/video/BV1GK421C7Kn,1707320792,医学奇迹！,3493087015864335,37546,6377,3741,2750,3814,858244,2569
在全网谩骂梅西的浪潮中，我选择继续支持梅西！！！,1950381074,https://www.bilibili.com/video/BV11C411x7SD,1707479223,-,1843102617,2188,153,390,47,129,92039,134
【梅西】爱你的这十年 故事很长 长且难忘,533622970,https://www.bilibili.com/video/BV1ru411c74B,1694943995,-,16034617,20873,11344,1272,945,4847,213865,509
梅西离荣耀之巅，还有___场？,263622214,https://www.bilibili.com/video/BV1be411P7M2,1670646942,"有惊无险，晋级四强！梅球王的世界杯之路还在继续！
这里是巴黎 🔴🔵",3493079673736008,82550,1076,1241,302,3272,854144,633
反转来了(一)！梅西是如何对待香港球迷的！进来自己判断！！！,1000572830,https://www.bilibili.com/video/BV1nx4y127Ke,1707574328,因为收到了人身攻击和辱骂所以我开启了b站的一键防护功能，因此才显示只有7天以上的关注者才能评论，希望大家理解。另外最近不要关注我，我只是发布更多细节给大家看而已。,215848317,3398,1684,454,921,1024,124160,42
我代表日本人热烈欢迎梅西！,1050372369,https://www.bilibili.com/video/BV1vH4y1Y7dp,1707202525,纯属搞笑，请勿当真,10998542,7005,333,937,539,706,338890,75
搞不懂！梅西历次来到中国都是积极友善的，为何这一次如此冷漠？,1550410212,https://www.bilibili.com/video/BV1uy421h74W,1707198591,-,1082711399,560,19,688,43,120,80677,55
这次我们可能上当了，梅西事件的背后，是一场看不见的舆论斗争,1750281268,https://www.bilibili.com/video/BV1D4421A7dW,1707562102,放弃幻想，准备战斗,398322808,281074,56292,6866,10938,29773,1512736,6908
“19岁的梅西，卡纳瓦罗和卡洛斯两人都守不住。”,723488702,https://www.bilibili.com/video/BV1VS4y1Z7k6,1643213163,-,648115335,9535,272,381,393,1504,643374,50
这脸色绝了！球迷将迈阿密球衣扔到梅西面前 梅西没有理会     中国足协官网删除梅西新闻,1650416597,https://www.bilibili.com/video/BV1m7421N7DP,1707103541,-,413010507,2653,106,1406,623,375,241129,222
欧洲俱乐部鲨疯了，梅西真的不得人心！,1500378900,https://www.bilibili.com/video/BV1ZU421d7Go,1707409801,,1773228842,2504,40,214,27,171,39316,34
古天乐在郑中基演唱会内涵梅西：你会上场踢吧？,1900912930,https://www.bilibili.com/video/BV1jm411S7gH,1708450246,-,1761628537,5187,120,717,384,195,182369,106
梅西到底多有钱？他的消费方式超越你的想象,648981634,https://www.bilibili.com/video/BV1de4y1K7QV,1671508234,梅西到底多有钱？他的消费方式超越你的想象,1714358248,3426,67,310,254,7926,1130114,128
扑到梅西怀疑人生，乔·哈特封神之战名场面,247644639,https://www.bilibili.com/video/BV1qv41177uv,1619823619,weibo,67430210,20426,170,433,513,3427,1556326,421
这就是伊布十分尊敬梅西的原因！！！,844045271,https://www.bilibili.com/video/BV1854y1W7tw,1612536467,懂球帝,470030357,4581,41,353,71,578,461555,31
梅西：像颠球一样颠个橘子,632513149,https://www.bilibili.com/video/BV1bb4y1S74Q,1629975514,-,1703623819,3575,18,56,69,350,643449,22
梅西刚到日本 就找了个日本花姑娘,1550297960,https://www.bilibili.com/video/BV1sy421Y7ho,1707305261,"Model：PES2022-Messi、東雪莲Offical
Motion：ActorMotion EpicGames 自制
BGM：P34
AI東雪莲：https://www.modelscope.cn/studios/xzjosh/Azuma-Bert-VITS2-2.3/summary
梅西友情配音：牢大",2175690,25211,2247,1112,11092,6056,570919,492
<19梅先生的劳伦斯>传说中19年的梅西是如何征服劳伦斯的？回顾历史最强单核精彩瞬间，为梅西的第二个劳伦斯奖打CALL！,527096954,https://www.bilibili.com/video/BV1WM411T7yL,1680678690,梅西其实不需要吹，按照纪录片的方式呈现就足够精彩了。传说中的19梅，历史最强单核，罗列数据和荣誉是看不出来的，只有细细品味每一场比赛，才能明白他为什么可以拿到那年的金球奖、世界足球先生，并征服了以个人项目为主的劳伦斯体育大奖，我有幸见证，并回味无穷。年近36岁的梅西依然是阿根廷的超级核心，在巴黎真是有点暴殄天物了，但即便甘心打辅助，部分巴黎球迷还是不依不饶，那些嘘梅西的巴黎球迷就是山猪吃不了细糠，希望你们能滚进来看看，什么是球王！,45531556,11591,6962,650,429,4188,210733,613
时隔半个月首度回应！上海梅西发布微博视频亲自解释中国行风波 评论区网友现状 梅西再回应香港比赛缺阵,1650905158,https://www.bilibili.com/video/BV1Gj421Q7LW,1708348523,微博,421083864,501,26,654,53,33,35528,130
#梅西巅峰时刻#央视都在为其振臂高呼#梅西c罗#不看世界杯的我觉得他俩有吸球的能力,648327453,https://www.bilibili.com/video/BV1fe4y1M7fr,1669909999,-,3461570468251801,17670,139,46,48,586,210213,26
【走近足球】之AI梅西揭开的惊天真相 # 这背后究竟是人性的扭曲，还是道德的沦丧？,1501287247,https://www.bilibili.com/video/BV1ES421P7zS,1709359698,骂别人不革命，便是革命者，则自己不做事，而骂别人的事做得不好，自然便是更做事者。 若与此辈理论，可以被牵连到白费唇舌，一事无成，也就是白活一世，于己于人，都无益处。 我现在得了妙法，是谣言不辩，诬蔑不洗，只管自己做事。 —— 真·鲁迅,45531556,7528,9799,1521,987,2711,49865,1710
加里·史密斯：谢天谢地梅西被换下场，没人能做到他所能做到的！,1401852738,https://www.bilibili.com/video/BV1zr421n7iJ,1710400672,-,301695922,428,24,116,15,58,10770,6
听听冲进球场拥抱梅西的孩子怎么说,487321392,https://www.bilibili.com/video/BV1wN411C7Hc,1686843600,www.dongqiudi.com,190293750,12461,415,2395,7066,2278,577513,922
直播回复：25岁梅西放到现在值多少钱？,835141210,https://www.bilibili.com/video/BV1Lg4y1y73U,1703243708,-,1591295479,4978,70,1076,43,211,264925,224
梅西的天价消费,312981790,https://www.bilibili.com/video/BV1yP411U7tA,1682313124,,92447250,2002,22,305,31,185,265957,169
农业频道聊梅西是另一个角度！【主播说三农】,1550329975,https://www.bilibili.com/video/BV19y421873K,1707394944,,1343321779,133482,7700,2751,2374,3906,990543,1549
梅西重新定义养老！36岁梅西的状态到底有多强？,362527290,https://www.bilibili.com/video/BV1i94y1r718,1692597191,梅西重新定义养老！36岁梅西的状态到底有多强？完全可以用五大联赛的标准来严格要求他，哪怕这是一个36岁老将。他在上赛季评分世界独一档，有领先所有同行的全场最佳次数，获得世界足球先生等奖项，以及——梅西锁定金球奖，而且对唯一接近他的哈兰德的领先优势越来越明显。首秀即名宿，踢了几场就是迈阿密国际队史第一人，他带垫底弱旅杯赛夺冠，甚至赛季结束可能实现三冠王！梅西这是重新定义了养老。夺冠后，梅西把队长袖标让给前队长耶德林，还邀请对方率先捧杯，把对方感动到，球迷也有心灵上的震撼。这就是梅西的人格魅力！,1027629709,199,2,19,2,25,7213,117
保安大哥抬出梅西球迷  脸上的笑容和身上的球衣 似乎暴露了什么…,402272993,https://www.bilibili.com/video/BV1Do4y1N7xn,1686844446,,526890129,13091,54,194,332,499,404390,15
梅西：妈妈总是抱怨没人喊我库西蒂尼,312882709,https://www.bilibili.com/video/BV15P411U7qp,1682314531,"https://video.weibo.com/show?fid=1034:4893843603259507
谢谢东方的iluo为梅西完成心愿
源视频转自：rrmm1218 侵删",1586105,9340,642,1295,1174,1483,455631,183
！啊这..前巴萨高层怒骂梅西“下水道老鼠、激素侏儒”,222745301,https://www.bilibili.com/video/BV1n8411N7wQ,1673518523,直播吧,302596460,9785,807,6124,2959,2296,578746,1637
巴萨前高管狂喷梅西：打激素的侏儒，下水道的老鼠！,650216621,https://www.bilibili.com/video/BV1DY4y1f7d5,1673528139,,513275350,4022,192,867,170,560,232393,467
充分证明梅西已经不是人类,511214034,https://www.bilibili.com/video/BV1gu411r7HL,1651550463,巅峰的梅西，连机器人都防不住,272508014,7149,39,216,37,551,1000788,18
梅西。,847696125,https://www.bilibili.com/video/BV1xL4y1Y7YE,1630409436,-,1419084389,58,0,0,0,1,1955,0
【纪录片/中文字幕（完美校对）】《球神梅西 Messi》（又名《梅西 Messi》）【超清完整版】【巴萨】（2014）,689741247,https://www.bilibili.com/video/BV1L24y1f71Z,1667489013,"纪录片《球神梅西》从一家餐厅内的客人对话展开，客人当中分别汇聚了足坛名宿克鲁伊夫、梅诺蒂、萨维利亚，梅西的队友伊涅斯塔、皮克、马斯切拉诺，以及诸多熟知梅西的好友和媒体人。
影片通过他们的交谈，以及不时穿插剧情的方式，让我们完整地了解了阿根廷球星利昂内尔·梅西(Lionel Messi)从年幼展露锋芒，到经历治疗生长激素缺乏症，后进入拉玛西亚青训，步入巴萨一线主力，再到欧冠名扬天下，被公认为球王的一系列故事。
“我们知道他在场上宛如天才，我们也想知道他在场下是什么样的人”",330096827,16585,6271,1119,6839,21659,601198,7134
「李治霖的足球电台」：关于梅西未登场的这件事，我裂开了！,1450353063,https://www.bilibili.com/video/BV1Xv42117xK,1707206060,,105502937,70603,40416,10703,5167,8751,1256462,8736
细数梅西被网爆之后发生的那些有趣的变化！,1501596810,https://www.bilibili.com/video/BV19D42177CB,1710089043,梅西、粉丝、黑子、媒体、代言商……都有哪些变化？一起来看看吧,318850867,594,335,537,27,88,9357,167
梅西也开始营销自律了？,835993711,https://www.bilibili.com/video/BV1bg4y1U7kv,1704638834,-,265491612,1202,7,149,2,69,57461,20
梅西看了都得沉默半天,688568397,https://www.bilibili.com/video/BV1o24y1R7BF,1664586368,-,1835276244,22397,244,186,873,2534,2918737,47
世界波！开场81秒，梅西闪电破门,272337504,https://www.bilibili.com/video/BV1yc411g74y,1686834666,,433587902,20351,277,1089,610,878,525058,72
丽丽严厉批评梅西,1050294284,https://www.bilibili.com/video/BV1HH4y1Y7tH,1707368547,-,1662509995,3478,282,173,1203,1398,47821,84
梅西：用屁股进球？这我熟啊！,944769322,https://www.bilibili.com/video/BV1mW4y1x7XX,1667619817,梅西：用屁股进球？这我熟啊！,2024728033,49182,98,75,111,2194,294420,31
破防了！小罗现场观看巴黎比赛，梅西跑到场边与其深情相拥！,548973192,https://www.bilibili.com/video/BV1Zq4y1g7YA,1635727549,破防了！小罗现场观看巴黎比赛，梅西跑到场边与其深情相拥！,1028623932,4734,98,166,95,1112,564985,64
梅西光脚跑来跑去的原因找到了，原来是爱妻“没收”了他的球鞋,691616554,https://www.bilibili.com/video/BV1P24y1S7Zc,1671519810,-,1485765453,5759,17,147,35,294,394128,22
捧梅西贬C罗？英格兰名宿：我看不起选C罗的人，他们不懂球,517437332,https://www.bilibili.com/video/BV1Pg411z7ra,1667830961,-,324229359,4638,252,2403,316,726,456447,1435
梅西来中国笑的最开心的一次😭,791589709,https://www.bilibili.com/video/BV19C4y1y7en,1701439967,-,3546567210436824,14661,36,26,4,280,100991,1
【梅西×高燃混剪】33岁生日贺礼 | 躬逢君盛，与有荣焉。,926008515,https://www.bilibili.com/video/BV1KT4y1J7km,1592971017,"谨以此献给陪伴我2174个日日夜夜的煤老板，生日快乐。

BGM: Whatever it takes-Imagine Dragons",38277087,7605,5154,202,921,5578,154359,419
校园足球｜或许，你喜欢梅西吗？,975005308,https://www.bilibili.com/video/BV1a44y1k79t,1629932415,-,107286491,3503,256,204,330,1223,1005185,186
迷弟满天下！那些赛后找梅西合影的对手们,55000336,https://www.bilibili.com/video/BV1B4411T7vy,1560034807,"比赛片段来自于网络
喜欢的话，点个关注欧",313997482,2129,22,58,17,541,256265,135
梅西道歉视频与AI视频对比！,1650792728,https://www.bilibili.com/video/BV12j421D7py,1708509337,到底真的假的啊兄弟萌这个视频，谁能找到梅哥的这个原视频啊，感觉是用对口型改的视频。,148747900,7682,402,591,272,903,607123,240
他！半年前就预言了梅西有问题,1250381446,https://www.bilibili.com/video/BV1NJ4m1t7MD,1707388180,-,236764741,2149,82,592,443,284,174794,50
梅西和家人看台观战，迈阿密在梅西缺席下遭遇了今年的首场失利！,1851536674,https://www.bilibili.com/video/BV1XW421F7AL,1710125562,-,301695922,345,6,78,5,16,6768,13
盘点梅西的败人品时刻，简直不堪入目！梅西粉丝气急败坏,312154666,https://www.bilibili.com/video/BV1EN411P7Yf,1680784005,玊！！！！！！！！！,487065253,15523,1368,0,3580,2186,480274,1051
CNN体育：梅西，你现在是GOAT了吗？梅西：我不为这个踢球,398501893,https://www.bilibili.com/video/BV1Ho4y1V7SQ,1683779707,,302596460,15563,663,1848,970,1537,541058,524
为梅西洗白的逆天视频获百万播放，我真的忍不了了！【洞察社会系列106】,1751089374,https://www.bilibili.com/video/BV1Zx421f77X,1709273131,,680677803,70872,21916,7783,1782,8155,788455,6888
梅西不诚恳！他曾经道歉过！看视频,1900324037,https://www.bilibili.com/video/BV1qm411Q7Kw,1707532676,,3493270334213022,2158,76,686,41,265,453462,105
惊呆了！梅西近距离打门不进，赛琳娜嘴巴张大难以置信,745532448,https://www.bilibili.com/video/BV1qr4y197y2,1693797226,,302596460,2655,9,391,160,192,272743,82
这就是梅西的魅力所在吧！小球迷见到梅西迟迟不愿离场,212532586,https://www.bilibili.com/video/BV1ya411t7oT,1648187357,这就是梅西的魅力所在吧！小球迷见到梅西迟迟不愿离场,1322208340,22044,4,46,9,332,180757,5
德媒报道梅西未出场事件！ 外网评论：他让中国内地和香港地区更团结！#外媒评梅西未出场#,1150497672,https://www.bilibili.com/video/BV1MZ421S7n3,1707354873,-,16069036,872,6,297,15,70,108657,27
梅西,694820622,https://www.bilibili.com/video/BV1824y1H7gN,1676964931,-,3493140388383003,449,2,18,0,62,28854,7
只有梅西才能叫醒沉睡的马拉多纳,987745411,https://www.bilibili.com/video/BV1St4y1N7GM,1668588968,-,1163782074,10657,70,161,75,785,1121644,48
闯场与梅西合影少年，已依法拘留！对他人生影响大吗？,402365856,https://www.bilibili.com/video/BV17o4y1K75y,1686920895,"这个孩子在拘留所不知道会不会后悔
我想，不会的
在里面他可能也会被围起来
听他讲述那段故事
但是他爹妈是不是生气
就不好说了.....",403226287,13445,40,319,22,467,186711,82
球王梅西在场上的帅照，罗结晶别急了哈哈哈,1051255441,https://www.bilibili.com/video/BV1BH4y1L71p,1709826354,-,630899333,988,48,186,5,39,6273,15
昨夜，梅西让酷玩演唱会最终变成了梅西“呼喊会”！,911654094,https://www.bilibili.com/video/BV1bM4y1i7Aa,1685323165,-,1482936000,4850,55,271,254,610,307570,116
一代人的青春  梅西和C罗两位世界球王,389985541,https://www.bilibili.com/video/BV1gd4y1k7N1,1667955124,-,1724980730,29,4,6,2,88,7620,45
比起连球鞋都不穿的梅西，在场边热身半小时的苏牙才是真想上场啊,1650463980,https://www.bilibili.com/video/BV1mj421Q7cH,1707210407,哪怕梅西那天能拿出苏牙这样的态度，想到现场的梅迷们就已经很满足了,1541568814,987,12,351,108,93,100900,28
梅西VS白酒,748063628,https://www.bilibili.com/video/BV1BC4y1J7qA,1699148591,茅台打钱,101394320,5449,47,131,159,434,156731,146
梅西看到大马丁的球童，再看看自己的球童，实在忍不住笑了,997294949,https://www.bilibili.com/video/BV1Ys4y1y7Cv,1686937613,dongqiudi,190293750,8293,142,800,616,908,829336,242
比赛出现意外插曲，热完身球衣不见了，谁拿走了梅西的球衣！,364509619,https://www.bilibili.com/video/BV1K94y187WQ,1697166449,-,301695922,7745,167,216,155,533,155750,104
董路：TMD梅西世界第一！不用争了,476466075,https://www.bilibili.com/video/BV1eK411z7dj,1671289952,5.64 IvS:/ 复制打开抖音，看看【Tong的作品】当董路老师看到梅西神级助攻时# 梅西 # 现役第一... https://v.douyin.com/hHDneRA/,29550921,7744,365,521,1021,1806,656311,359
C罗和梅西的座驾体现了两人的性格,718754004,https://www.bilibili.com/video/BV1gQ4y1Q7dt,1635496510,,167917146,3981,29,565,63,501,607449,84
德云色现场把水友梅西名字改成C罗：我还买了C罗的衣服！,1301870121,https://www.bilibili.com/video/BV1xu4m1M7Yh,1710425046,大家关注和推荐点一点，非常感谢大家的支持和厚爱！,9310983,87,2,39,8,6,7377,3
阿根廷夺冠瞬间，梅西的反应！一下子彻底释怀了！太真实了！,691463467,https://www.bilibili.com/video/BV1S24y1D7gn,1671466032,阿根廷夺冠瞬间，梅西的反应！一下子彻底释怀了！太真实了！,1943018894,5025,107,112,40,561,935411,290
梅西家不争气的傻儿子们,36796797,https://www.bilibili.com/video/BV1nt41197pg,1543207950,,174493457,8072,134,172,375,2030,960437,267
盘点梅西的十大父亲（上集）,1650562257,https://www.bilibili.com/video/BV17j421X7Vb,1707815878,"点赞播放可以就出下集
希望审核不要卡我，梅西不尊重我们，我们也不需要尊重他",472693771,12925,6013,1316,1745,3184,207518,1859
梅西yyds,650741601,https://www.bilibili.com/video/BV1gY4y1o7JG,1674287712,-,3493077589167024,484,2,27,0,23,9608,1
姆巴佩：梅西在法国未得到应有的尊重是种耻辱,402251707,https://www.bilibili.com/video/BV1ao4y1N7Y1,1686705116,,302596460,6791,125,920,529,523,235469,44
得知梅西上场的老八 笑的像个孩子,1950346779,https://www.bilibili.com/video/BV1FC411676Q,1707307634,-,16098736,3482,155,404,452,391,128822,53
一年前，所有人都在嘲讽梅西...而如今，他正巅峰重现,516228182,https://www.bilibili.com/video/BV1Ag411Y7wV,1664711025,"2021年，刚刚获得美洲杯冠军的梅西被巴塞罗那无情扫地出门，差点无球可踢的他幸运地被大巴黎签下。然而失去核心战术地位的梅西在新球队水土不服，单赛季联赛进球只有8个，狂轰13脚门柱。正当所有人都在嘲讽他，说他不行了，22/23赛季开始，那个熟悉的进球机器梅西又回来了，他用依旧老练完美的表现征服了所有人。世界杯将至，梅西正在迈向另一个巅峰...
---------------------
bgm1：Avicii Without You 
bgm2：Lost Sky Where We Started",518610078,167110,116666,9226,12025,47176,3711010,13849
得知梅西上场后的 李老八和球迷阿獠,1700477079,https://www.bilibili.com/video/BV1nK421y7Xd,1707542141,-,389145692,6605,52,276,309,427,102190,15
我还是会喜欢梅西，你们可以骂我了！欢迎脱粉！,1150327156,https://www.bilibili.com/video/BV15Z421U7te,1707376710,给大家拜个早年！祝大家春节快乐，阖家幸福！,45531556,14639,14519,11563,2442,3704,296734,12136
19梅西绝对是天神下凡的一年，全年51球22助，场均赛后评分断崖式第一,790674300,https://www.bilibili.com/video/BV15C4y1U72B,1699582882,-,575820055,2831,481,228,49,322,65920,387
用实力征服对手！德容：我永远不会忘记梅西在我们眼前的传球,476842090,https://www.bilibili.com/video/BV17K411i7mu,1672063154,,414615582,11146,150,506,124,1022,903964,90
梅西用一届世界杯诠释了球王踢法,832908052,https://www.bilibili.com/video/BV1Eg4y1R7Sa,1699029682,-,387707111,9008,2439,1286,596,3011,287371,953
这难绷的表情和肢体动作绝了！  哈兰德称 梅西是史上最佳     中国U20女足0:2日本,1451411227,https://www.bilibili.com/video/BV1qi421Z7up,1709707421,-,413010507,318,6,130,23,25,12097,15
梅西都蚌埠住了哈哈哈,529780767,https://www.bilibili.com/video/BV1Au411e7ez,1686852681,-,4921139,60015,2492,2271,5040,10398,1474150,971
一夜之间梅西事件风向巨变,1250606295,https://www.bilibili.com/video/BV1kJ4m1x7Sj,1707816722,-,488903634,2473,137,1286,45,190,361227,196
冲进场抱梅西球迷回应 “对不起梅西我实在太想见你了”,314825846,https://www.bilibili.com/video/BV1GP411z7j2,1686877922,-,412578153,6742,23,88,27,155,95989,17
梅西！,360501321,https://www.bilibili.com/video/BV19X4y1n7BS,1688601061,-,1673623206,80,4,2,0,20,1082,1
克洛普夸赞梅西不需要防守，范加尔大意了，梅西逼抢造就名场面,1301323467,https://www.bilibili.com/video/BV1uu4m137gF,1709725329,,473978943,468,154,73,4,48,6675,6
为什么梅西带球怎么都抢不下来？,844765824,https://www.bilibili.com/video/BV1X54y187Y6,1617088572,都说梅西过人的时候，球就像黏在他脚上一样，他是怎么做到的？答案绝不只是“脚底下快”那么简单。还有一个关键的数据，才是梅西无往不利的真正秘密！,680200136,59627,24420,1964,9343,23960,1513405,3910
周杰伦和梅西合影! 两大传奇人物,346165767,https://www.bilibili.com/video/BV1qR4y1d7Cr,1664800665,-,1931074160,25688,114,632,137,571,420212,87
入坑5年，转黑2年。前死忠梅西人迷都经历了什么？,1950358984,https://www.bilibili.com/video/BV1mC411x7rA,1707489092,,3493132175935882,22560,6042,4644,1695,4249,664305,2038
【真实解说】阿根廷1:0厄瓜多尔！梅西任意球绝杀!劳塔罗中柱，多名年轻球员发挥抢眼！,830632188,https://www.bilibili.com/video/BV1r34y1T7J7,1694153669,,108618052,24628,7091,1655,978,2117,675899,4912
梅西澄清视频推特Twitter评论区,1700831744,https://www.bilibili.com/video/BV1PK421878D,1708418738,-,33492070,756,30,632,26,57,64732,122
王者荣耀成为首家和梅西解约的企业，以后的裴擒虎皮肤永久不会返场！,1750572812,https://www.bilibili.com/video/BV1z4421w7yD,1707711924,-,1272034064,842,4,353,55,63,134728,75
最后一战，梅西战C罗！,453208886,https://www.bilibili.com/video/BV1b5411z7tL,1704105317,最后一战，梅西战C罗！,1471787503,3853,157,323,34,2705,165332,374
给你们1分钟，走或者留下继续黑梅西,1801603710,https://www.bilibili.com/video/BV1Lt421L7yi,1710064499,,1586105,1949,1164,505,162,206,20936,237
梅西ins账号更新一组家庭生活照，评论区网友现状 梅西风波后香港贺岁杯重启,1200700492,https://www.bilibili.com/video/BV1xF4m177aB,1707645015,ins,421083864,8488,228,1104,82,379,379601,267
梅西只用十一秒就征服了世人,59052516,https://www.bilibili.com/video/BV1xt411V7ho,1563024496,-,21671764,8657,278,245,450,2500,734251,384
梅西香港行之粤语国粹,1050263138,https://www.bilibili.com/video/BV13H4y1Y7eA,1707059381,-,3479555,3470,168,521,5892,906,236798,145
梅西不会再爱了,1050487914,https://www.bilibili.com/video/BV1zH4y1h7h2,1707377456,-,2098344718,19992,932,1092,289,556,152738,383
